"grid_id","lon","lat","geom"
2249,-117.80723661151005,34.11060520964579,"POLYGON((-117.81266596845438 34.10610613432775,-117.80182804022661 34.10608884643944,-117.80180667059366 34.115104122013626,-117.81264576751069 34.115121411770915,-117.81266596845438 34.10610613432775))"
2250,-117.79639810123145,34.110587434774104,"POLYGON((-117.80182804022661 34.10608884643944,-117.79099011660661 34.106070586506036,-117.79096757828586 34.11508586010619,-117.80180667059366 34.115104122013626,-117.80182804022661 34.10608884643944))"
2251,-117.7855595956873,34.11056868780509,"POLYGON((-117.79099011660661 34.106070586506036,-117.78015219784632 34.10605135452819,-117.78012849083936 34.11506662604921,-117.79096757828586 34.11508586010619,-117.79099011660661 34.106070586506036))"
2252,-117.7747210951297,34.110548968739444,"POLYGON((-117.78015219784632 34.10605135452819,-117.76931428419776 34.106031150506574,-117.76928940850621 34.115046419843395,-117.78012849083936 34.11506662604921,-117.78015219784632 34.10605135452819))"
2253,-117.76388259981066,34.11052827757781,"POLYGON((-117.76931428419776 34.106031150506574,-117.75847637591289 34.10600997444188,-117.75845033153853 34.11502524148941,-117.76928940850621 34.115046419843395,-117.76931428419776 34.106031150506574))"
2254,-117.7530441099822,34.11050661432094,"POLYGON((-117.75847637591289 34.10600997444188,-117.74763847324374 34.105987826334875,-117.74761126018838 34.11500309098803,-117.75845033153853 34.11502524148941,-117.75847637591289 34.10600997444188))"
2255,-117.7422056258964,34.1104839789696,"POLYGON((-117.74763847324374 34.105987826334875,-117.73680057644225 34.10596470618631,-117.73677219470777 34.11497996834001,-117.74761126018838 34.11500309098803,-117.74763847324374 34.105987826334875))"
2256,-117.73136714780522,34.11046037152454,"POLYGON((-117.73680057644225 34.10596470618631,-117.72596268576045 34.105940613997,-117.72593313534884 34.11495587354617,-117.73677219470777 34.11497996834001,-117.73680057644225 34.10596470618631))"
2257,-117.72052867596072,34.110435791986625,"POLYGON((-117.72596268576045 34.105940613997,-117.7151248014503 34.105915549767815,-117.71509408236363 34.11493080660733,-117.72593313534884 34.11495587354617,-117.72596268576045 34.105940613997))"
2258,-117.70969021061494,34.110410240356714,"POLYGON((-117.7151248014503 34.105915549767815,-117.70428692376382 34.105889513499584,-117.70425503600423 34.114904767524415,-117.71509408236363 34.11493080660733,-117.7151248014503 34.105915549767815))"
2259,-118.85864766272192,34.11672398876573,"POLYGON((-118.86402053888443 34.11217792161564,-118.85318219294273 34.11225492812786,-118.85327420055036 34.12126989807262,-118.86411371519043 34.121192883236375,-118.86402053888443 34.11217792161564))"
2260,-118.84780872249917,34.116800513388796,"POLYGON((-118.85318219294273 34.11225492812786,-118.84234382716147 34.11233096258955,-118.84243466606432 34.12134594075324,-118.85327420055036 34.12126989807262,-118.85318219294273 34.11225492812786))"
2261,-118.83696976255969,34.116876065907455,"POLYGON((-118.84234382716147 34.11233096258955,-118.83150544179267 34.11240602499804,-118.83159511198438 34.12142101127561,-118.84243466606432 34.12134594075324,-118.84234382716147 34.11233096258955))"
2262,-118.82613078315549,34.116950646319054,"POLYGON((-118.83150544179267 34.11240602499804,-118.82066703708826 34.11248011535072,-118.82075553856258 34.121495109637046,-118.83159511198438 34.12142101127561,-118.83150544179267 34.11240602499804))"
2263,-118.81529178453856,34.11702425462101,"POLYGON((-118.82066703708826 34.11248011535072,-118.80982861330023 34.11255323364498,-118.809915946051 34.121568235835035,-118.82075553856258 34.121495109637046,-118.82066703708826 34.11248011535072))"
2264,-118.80445276696096,34.11709689081073,"POLYGON((-118.80982861330023 34.11255323364498,-118.79899017068057 34.112625379878295,-118.79907633470171 34.12164038986697,-118.809915946051 34.121568235835035,-118.80982861330023 34.11255323364498))"
2265,-118.79361373067468,34.11716855488568,"POLYGON((-118.79899017068057 34.112625379878295,-118.78815170948126 34.112696554048085,-118.7882367047667 34.12171157173032,-118.79907633470171 34.12164038986697,-118.79899017068057 34.112625379878295))"
2266,-118.7827746759317,34.11723924684334,"POLYGON((-118.78815170948126 34.112696554048085,-118.77731322995426 34.112766756151935,-118.77739705649813 34.12178178142264,-118.7882367047667 34.12171157173032,-118.78815170948126 34.112696554048085))"
2267,-118.77193560298416,34.11730896668128,"POLYGON((-118.77731322995426 34.112766756151935,-118.76647473235157 34.112835986187335,-118.76655739014802 34.121851018941456,-118.77739705649813 34.12178178142264,-118.77731322995426 34.112766756151935))"
2268,-118.76109651208401,34.11737771439702,"POLYGON((-118.76647473235157 34.112835986187335,-118.75563621692521 34.11290424415187,-118.75571770596844 34.121919284284324,-118.76655739014802 34.121851018941456,-118.76647473235157 34.112835986187335))"
2269,-118.75025740348329,34.117445489988164,"POLYGON((-118.75563621692521 34.11290424415187,-118.74479768392715 34.11297153004318,-118.74487800421149 34.12198657744887,-118.75571770596844 34.121919284284324,-118.75563621692521 34.11290424415187))"
2270,-118.73941827743404,34.11751229345234,"POLYGON((-118.74479768392715 34.11297153004318,-118.73395913360935 34.11303784385888,-118.7340382851292 34.122052898432756,-118.74487800421149 34.12198657744887,-118.74479768392715 34.11297153004318))"
2271,-118.7285791341883,34.11757812478723,"POLYGON((-118.73395913360935 34.11303784385888,-118.72312056622386 34.113103185596685,-118.7231985489737 34.122118247233644,-118.7340382851292 34.122052898432756,-118.73395913360935 34.11303784385888))"
2272,-118.71773997399815,34.11764298399052,"POLYGON((-118.72312056622386 34.113103185596685,-118.71228198202267 34.11316755525428,-118.71235879599708 34.12218262384927,-118.7231985489737 34.122118247233644,-118.72312056622386 34.113103185596685))"
2273,-118.70690079711555,34.11770687105996,"POLYGON((-118.71228198202267 34.11316755525428,-118.70144338125777 34.11323095282943,-118.70151902645135 34.12224602827737,-118.71235879599708 34.12218262384927,-118.71228198202267 34.11316755525428))"
2274,-118.69606160379257,34.117769785993275,"POLYGON((-118.70144338125777 34.11323095282943,-118.69060476418116 34.11329337831992,-118.69067924058864 34.122308460515704,-118.70151902645135 34.12224602827737,-118.70144338125777 34.11323095282943))"
2275,-118.68522239428128,34.117831728788296,"POLYGON((-118.69060476418116 34.11329337831992,-118.67976613104484 34.11335483172354,-118.67983943866103 34.12236992056215,-118.69067924058864 34.122308460515704,-118.69060476418116 34.11329337831992))"
2276,-118.67438316883377,34.117892699442855,"POLYGON((-118.67976613104484 34.11335483172354,-118.66892748210086 34.1134153130382,-118.66899962092064 34.12243040841448,-118.67983943866103 34.12236992056215,-118.67976613104484 34.11335483172354))"
2277,-118.66354392770198,34.117952697954806,"POLYGON((-118.66892748210086 34.1134153130382,-118.6580888176012 34.11347482226171,-118.65815978761952 34.12248992407063,-118.66899962092064 34.12243040841448,-118.66892748210086 34.1134153130382))"
2278,-118.65270467113804,34.11801172432206,"POLYGON((-118.6580888176012 34.11347482226171,-118.64725013779785 34.113533359392044,-118.64731993900979 34.12254846752851,-118.65815978761952 34.12248992407063,-118.6580888176012 34.11347482226171))"
2279,-118.641865399394,34.11806977854256,"POLYGON((-118.64725013779785 34.113533359392044,-118.63641144294286 34.113590924427136,-118.63648007534354 34.122606038786074,-118.64731993900979 34.12254846752851,-118.64725013779785 34.113533359392044))"
2280,-118.63102611272191,34.11812686061427,"POLYGON((-118.63641144294286 34.113590924427136,-118.62557273328825 34.11364751736498,-118.62564019687288 34.122662637841316,-118.63648007534354 34.122606038786074,-118.63641144294286 34.113590924427136))"
2281,-118.62018681137378,34.118182970535194,"POLYGON((-118.62557273328825 34.11364751736498,-118.61473400908599 34.113703138203576,-118.61480030384989 34.12271826469224,-118.62564019687288 34.122662637841316,-118.62557273328825 34.11364751736498))"
2282,-118.60934749560178,34.118238108303366,"POLYGON((-118.61473400908599 34.113703138203576,-118.6038952705882 34.11375778694101,-118.60396039652669 34.122772919336896,-118.61480030384989 34.12271826469224,-118.61473400908599 34.113703138203576))"
2283,-118.59850816565785,34.11829227391686,"POLYGON((-118.6038952705882 34.11375778694101,-118.5930565180468 34.11381146357535,-118.59312047515537 34.1228266017734,-118.60396039652669 34.122772919336896,-118.6038952705882 34.11375778694101))"
